Catedral de S.C.; -22.018270665425366, -47.890969226317225
Observatório Astronômico; -22.011190547342242, -47.89631873688992
CDCC USP; -22.018985859429932, -47.89281029587647
Museu de Ciência Prof.M. Tolentino; -22.016767557392395, -47.89065900177282
Praça XV; -22.011967233250427, -47.89543093371435
Mercado Municipal; -22.019767089562574, -47.8912092288818
Escola Estadual Álvaro Guião; -22.013799214489435, -47.890420180214115
Teatro Municipal; -22.01577971255527, -47.89355120151492
Palácio Conde do Pinhal; -22.017702748745066, -47.8906203585379
ICMC - Museu da Computação; -22.007288506973985, -47.89456424037163
